,Date,Nasdaq,Res,SqRes,CondV,Spline,st
"150-1",1985-05-16,0.44959439384273381,0.32050378007117453,0.10272267303991181,0.29458290110242297,0.37331318127326463,0.78910393706883009
"151-1",1985-05-17,0.65348469870940562,0.48951215563480238,0.239622150514231,0.27074319377514405,0.37363906750200326,0.72461157658170328
"152-1",1985-05-20,0.95531262179653353,0.74996977392920317,0.5624546618074201,0.27402945644567811,0.3739650244505564,0.73276760800904461
"153-1",1985-05-21,-0.2039429666769621,-0.47052812413442058,0.22139671560145671,0.32734804536361861,0.37429105180781158,0.87458154231189866
"154-1",1985-05-22,-0.30669644078038516,-0.33806317007775011,0.11428670696301779,0.31459379847471253,0.37461714926226419,0.83977415100788633
"155-1",1985-05-23,-0.27341097004685011,-0.2839285346674052,0.080615412798379915,0.28799797978940661,0.37494331650201795,0.76811071731120351
"156-1",1985-05-24,-0.034228992290419313,-0.051500335960528595,0.0026522846040473147,0.26234472079176185,0.375269553214785,0.69908341495961768
"157-1",1985-05-28,-0.41166438925390736,-0.47746688464886883,0.22797462593629622,0.23044765637701284,0.37559585908788679,0.61355217529991379
"158-1",1985-05-29,-0.1031814364973016,-0.092400509143671941,0.0085378540900098027,0.24146607851254023,0.37592223380825396,0.64232986718126506
"159-1",1985-05-30,-0.24117152085727511,-0.29298324001151443,0.085839178927644672,0.21542254487107262,0.37624867706242687,0.57255362743861526
"160-1",1985-05-31,0.30997097317539968,0.28615809316203694,0.081886454282133009,0.2076463538123258,0.37657518853655619,0.5514074217668975
"161-1",1985-06-03,-0.068799452318124565,-0.2044417446091607,0.04179642693883729,0.201090273664533,0.37690176791640284,0.53353497060044308
"162-1",1985-06-04,0.13755160353099427,0.078763617575832695,0.006203707453632021,0.18978562956098524,0.37722841488733888,0.50310533902295151
"163-1",1985-06-05,0.2745368917192792,0.17387930298746029,0.030234012007405019,0.17554915141723867,0.37755512913434758,0.46496296267974158
"164-1",1985-06-06,0.034264177138343399,-0.09418837285058268,0.0088714495802403801,0.16844325141834701,0.37788191034202379,0.44575632441861995
"165-1",1985-06-07,-0.3088010688576226,-0.38850115147401065,0.15093314469663216,0.15966272566567183,0.37820875819457445,0.42215501943382083
"166-1",1985-06-10,-0.10314596066622883,-0.11323648632047514,0.012822501834207155,0.17530197780872017,0.37853567237581892,0.46310556864684693
"167-1",1985-06-11,-0.068823127286421482,-0.12064204465415712,0.014554502938335641,0.16559078617810283,0.37886265256918933,0.43707339600559336
"168-1",1985-06-12,-0.27576715166617305,-0.33455033385857091,0.11192392588488126,0.15844594448327515,0.37918969845773121,0.41785403223694734
"169-1",1985-06-13,-0.97121817879859407,-0.9880114421018994,0.97616660972427494,0.16830960009620208,0.37951680972410351,0.44348391371269624
"170-1",1985-06-14,0.38267571486274576,0.50699274603713707,0.25704164453427697,0.31182064205307014,0.37984398605057917,0.82091767542569127
"171-1",1985-06-17,-0.20855064910216825,-0.35894507649569923,0.12884156794050339,0.30872589074324208,0.38017122711904555,0.8120706374408726
"172-1",1985-06-18,0.17382239732057769,0.14339058852589934,0.020560860877803774,0.28621618000002813,0.38049853261100486,0.75221362362686317
"173-1",1985-06-19,0.10414859472911431,-0.0038685091848043585,1.4965363312915681e-005,0.25196031145901354,0.38082590220757445,0.66161547835493362
"174-1",1985-06-20,-0.277970992049692,-0.371850952703356,0.13827313102639349,0.22250132665036504,0.38115333558948705,0.58375804663036002
"175-1",1985-06-21,0.45131130239646211,0.4349652087044843,0.1891947327833356,0.22169493650624283,0.38148083243709174,0.58114305531406096
"176-1",1985-06-24,0.44928363116305547,0.28496271924268768,0.081203751358186846,0.22911093986033867,0.38180839243035364,0.60006784660222268
"177-1",1985-06-25,0.78997491366807893,0.62606542580733149,0.3919579173913153,0.21783492622075726,0.38213601524885488,0.57004552705899403
"178-1",1985-06-26,0.37561935916805567,0.14258200273761515,0.020329627504669295,0.25809318148155547,0.38246370057179452,0.67481745612903532
"179-1",1985-06-27,0.64549230409962632,0.49652964456777043,0.24654168793459644,0.23052222563873415,0.38279144807798948,0.60221362518989141
"180-1",1985-06-28,0.30431130838213249,0.10059015508849221,0.010118379300726916,0.24499594552890641,0.38311925744587449,0.6394769794716425
"181-1",1985-07-01,0.10123166040818532,-0.033262259194530783,0.0011063778867241476,0.2189292798443131,0.3834471283535027,0.57095037009243321
"182-1",1985-07-02,0.13481633319338826,0.041528232275262519,0.0017245940759081557,0.19756044449634821,0.38377506047854631,0.51478187313683499
"183-1",1985-07-03,0.13463482343381017,0.034532233958239691,0.0011924751821466024,0.18130651349545868,0.38410305349829627,0.47202570207180838
"184-1",1985-07-05,0.43631551010374636,0.33624974981474026,0.11306389425047542,0.16879157585010676,0.3844311070896636,0.43906846438089697
"185-1",1985-07-08,-0.26827648551810412,-0.42955468043354245,0.18451722348236277,0.17682058396108913,0.38475922092917925,0.45956165399772353
"186-1",1985-07-09,-0.20168074063047214,-0.21999389543547901,0.048397314028876474,0.19423693008338572,0.38508739469299447,0.50439700899126649
"187-1",1985-07-10,0.43646199890527981,0.40463625327011232,0.16373049746047449,0.18620093506377305,0.38541562805688162,0.48311724151541818
"188-1",1985-07-11,0.66778211426052891,0.50647419607613908,0.2565161112909714,0.19820689203927844,0.38574392069623414,0.51383024178717396
"189-1",1985-07-12,0.63028903301161066,0.42204517207509562,0.17812212727189708,0.22202607124471507,0.38607227228606744,0.57508939953139326
"190-1",1985-07-15,0.1982161203990529,-0.0024202174632260848,5.8574525693045054e-006,0.22797592121307916,0.38640068250101883,0.58999875398118129
"191-1",1985-07-16,0.72344939009330034,0.6104826846794682,0.37268910829345098,0.20454740191439302,0.38672915101534827,0.52891642995455257
"192-1",1985-07-17,0.84829219944770884,0.62875318561175342,0.39533056841692804,0.24523215763504003,0.38705767750293885,0.63358039870731675
"193-1",1985-07-18,-0.29282597790887266,-0.53769618675946873,0.28911718925567348,0.2799976211642472,0.38738626163729684,0.72278665738126824
